all_user_answers,processed_answers,combined_answers,suggested_locations
"['Mùa xuân (tháng 3 - 5)', 'Núi/Rừng', 'Du lịch khám phá thiên nhiên']","['ma xun thng 3  5', 'nirng', 'du lch khm ph thin nhin']",ma xun thng 3  5 nirng du lch khm ph thin nhin,"['YokDon', 'BachMa', 'Bidoup', 'ChuMomRay', 'PuHuong']"
"['Mùa xuân (tháng 3 - 5)', 'Núi/Rừng', 'Du lịch văn hóa, lịch sử']","['ma xun thng 3  5', 'nirng', 'du lch vn ha lch s']",ma xun thng 3  5 nirng du lch vn ha lch s,"['LangSon', 'ThaiNguyen', 'HoaBinh', 'SonLa', 'QuangNgai']"
"['Mùa xuân (tháng 3 - 5)', 'Núi/Rừng', 'Du lịch nghỉ dưỡng, thư giãn']","['ma xun thng 3  5', 'nirng', 'du lch ngh dng th gin']",ma xun thng 3  5 nirng du lch ngh dng th gin,"['TamDao', 'TamNong', 'YenTu', 'Y Ty']"
"['Mùa xuân (tháng 3 - 5)', 'Biển', 'Du lịch khám phá thiên nhiên']","['ma xun thng 3  5', 'bin', 'du lch khm ph thin nhin']",ma xun thng 3  5 bin du lch khm ph thin nhin,"['HaTien', 'HonSon', 'UMinhThuong']"
"['Mùa xuân (tháng 3 - 5)', 'Biển', 'Du lịch văn hóa, lịch sử']","['ma xun thng 3  5', 'bin', 'du lch vn ha lch s']",ma xun thng 3  5 bin du lch vn ha lch s,"['BienNgoc', 'NhatLeCoKinh', 'DaNangXuanKhaoCo', 'QuyNhonBienSu', 'PhuQuoc']"
"['Mùa xuân (tháng 3 - 5)', 'Biển', 'Du lịch nghỉ dưỡng, thư giãn']","['ma xun thng 3  5', 'bin', 'du lch ngh dng th gin']",ma xun thng 3  5 bin du lch ngh dng th gin,"['ConDao', 'NhaTrang', 'LongHai']"
"['Mùa xuân (tháng 3 - 5)', 'Thành phố', 'Du lịch khám phá thiên nhiên']","['ma xun thng 3  5', 'thnh ph', 'du lch khm ph thin nhin']",ma xun thng 3  5 thnh ph du lch khm ph thin nhin,"['LongXuyen', 'CanTho', 'RachGia', 'VinhLong', 'MyTho']"
"['Mùa xuân (tháng 3 - 5)', 'Thành phố', 'Du lịch văn hóa, lịch sử']","['ma xun thng 3  5', 'thnh ph', 'du lch vn ha lch s']",ma xun thng 3  5 thnh ph du lch vn ha lch s,"['HaNoi', 'Hue', 'HoiAn', 'DaLat', 'TPHCM']"
"['Mùa xuân (tháng 3 - 5)', 'Thành phố', 'Du lịch nghỉ dưỡng, thư giãn']","['ma xun thng 3  5', 'thnh ph', 'du lch ngh dng th gin']",ma xun thng 3  5 thnh ph du lch ngh dng th gin,"['DaNang', 'QuyNhon']"
"['Mùa xuân (tháng 3 - 5)', 'Cao nguyên', 'Du lịch khám phá thiên nhiên']","['ma xun thng 3  5', 'cao nguyn', 'du lch khm ph thin nhin']",ma xun thng 3  5 cao nguyn du lch khm ph thin nhin,"['KonPlong', 'BaoLoc', 'LacDuong']"
"['Mùa xuân (tháng 3 - 5)', 'Cao nguyên', 'Du lịch văn hóa, lịch sử']","['ma xun thng 3  5', 'cao nguyn', 'du lch vn ha lch s']",ma xun thng 3  5 cao nguyn du lch vn ha lch s,"['MocChau', 'BacHa']"
"['Mùa xuân (tháng 3 - 5)', 'Cao nguyên', 'Du lịch nghỉ dưỡng, thư giãn']","['ma xun thng 3  5', 'cao nguyn', 'du lch ngh dng th gin']",ma xun thng 3  5 cao nguyn du lch ngh dng th gin,"['Pleiku', 'BuonMeThuot', 'MangDen']"
"['Mùa hè (tháng 6 - 8)', 'Núi/Rừng', 'Du lịch khám phá thiên nhiên']","['ma h thng 6  8', 'nirng', 'du lch khm ph thin nhin']",ma h thng 6  8 nirng du lch khm ph thin nhin,"['YokDon', 'BachMa', 'Bidoup', 'ChuMomRay', 'PuHuong']"
"['Mùa hè (tháng 6 - 8)', 'Núi/Rừng', 'Du lịch văn hóa, lịch sử']","['ma h thng 6  8', 'nirng', 'du lch vn ha lch s']",ma h thng 6  8 nirng du lch vn ha lch s,"['LangSon', 'ThaiNguyen', 'HoaBinh', 'SonLa', 'QuangNgai']"
"['Mùa hè (tháng 6 - 8)', 'Núi/Rừng', 'Du lịch nghỉ dưỡng, thư giãn']","['ma h thng 6  8', 'nirng', 'du lch ngh dng th gin']",ma h thng 6  8 nirng du lch ngh dng th gin,"['TamDao', 'TamNong', 'YenTu', 'Y Ty']"
"['Mùa hè (tháng 6 - 8)', 'Biển', 'Du lịch khám phá thiên nhiên']","['ma h thng 6  8', 'bin', 'du lch khm ph thin nhin']",ma h thng 6  8 bin du lch khm ph thin nhin,"['HaTien', 'HonSon', 'UMinhThuong']"
"['Mùa hè (tháng 6 - 8)', 'Biển', 'Du lịch văn hóa, lịch sử']","['ma h thng 6  8', 'bin', 'du lch vn ha lch s']",ma h thng 6  8 bin du lch vn ha lch s,"['BienNgoc', 'NhatLeCoKinh', 'DaNangXuanKhaoCo', 'QuyNhonBienSu', 'PhuQuoc']"
"['Mùa hè (tháng 6 - 8)', 'Biển', 'Du lịch nghỉ dưỡng, thư giãn']","['ma h thng 6  8', 'bin', 'du lch ngh dng th gin']",ma h thng 6  8 bin du lch ngh dng th gin,"['ConDao', 'NhaTrang', 'LongHai']"
"['Mùa hè (tháng 6 - 8)', 'Thành phố', 'Du lịch khám phá thiên nhiên']","['ma h thng 6  8', 'thnh ph', 'du lch khm ph thin nhin']",ma h thng 6  8 thnh ph du lch khm ph thin nhin,"['LongXuyen', 'CanTho', 'RachGia', 'VinhLong', 'MyTho']"
"['Mùa hè (tháng 6 - 8)', 'Thành phố', 'Du lịch văn hóa, lịch sử']","['ma h thng 6  8', 'thnh ph', 'du lch vn ha lch s']",ma h thng 6  8 thnh ph du lch vn ha lch s,"['HaNoi', 'Hue', 'HoiAn', 'DaLat', 'TPHCM']"
"['Mùa hè (tháng 6 - 8)', 'Thành phố', 'Du lịch nghỉ dưỡng, thư giãn']","['ma h thng 6  8', 'thnh ph', 'du lch ngh dng th gin']",ma h thng 6  8 thnh ph du lch ngh dng th gin,"['DaNang', 'QuyNhon']"
"['Mùa hè (tháng 6 - 8)', 'Cao nguyên', 'Du lịch khám phá thiên nhiên']","['ma h thng 6  8', 'cao nguyn', 'du lch khm ph thin nhin']",ma h thng 6  8 cao nguyn du lch khm ph thin nhin,"['KonPlong', 'BaoLoc', 'LacDuong']"
"['Mùa hè (tháng 6 - 8)', 'Cao nguyên', 'Du lịch văn hóa, lịch sử']","['ma h thng 6  8', 'cao nguyn', 'du lch vn ha lch s']",ma h thng 6  8 cao nguyn du lch vn ha lch s,"['MocChau', 'BacHa']"
"['Mùa hè (tháng 6 - 8)', 'Cao nguyên', 'Du lịch nghỉ dưỡng, thư giãn']","['ma h thng 6  8', 'cao nguyn', 'du lch ngh dng th gin']",ma h thng 6  8 cao nguyn du lch ngh dng th gin,"['Pleiku', 'BuonMeThuot', 'MangDen']"
"['Mùa thu (tháng 9 - 11)', 'Núi/Rừng', 'Du lịch khám phá thiên nhiên']","['ma thu thng 9  11', 'nirng', 'du lch khm ph thin nhin']",ma thu thng 9  11 nirng du lch khm ph thin nhin,"['YokDon', 'BachMa', 'Bidoup', 'ChuMomRay', 'PuHuong']"
"['Mùa thu (tháng 9 - 11)', 'Núi/Rừng', 'Du lịch văn hóa, lịch sử']","['ma thu thng 9  11', 'nirng', 'du lch vn ha lch s']",ma thu thng 9  11 nirng du lch vn ha lch s,"['LangSon', 'ThaiNguyen', 'HoaBinh', 'SonLa', 'QuangNgai']"
"['Mùa thu (tháng 9 - 11)', 'Núi/Rừng', 'Du lịch nghỉ dưỡng, thư giãn']","['ma thu thng 9  11', 'nirng', 'du lch ngh dng th gin']",ma thu thng 9  11 nirng du lch ngh dng th gin,"['TamDao', 'TamNong', 'YenTu', 'Y Ty']"
"['Mùa thu (tháng 9 - 11)', 'Biển', 'Du lịch khám phá thiên nhiên']","['ma thu thng 9  11', 'bin', 'du lch khm ph thin nhin']",ma thu thng 9  11 bin du lch khm ph thin nhin,"['HaTien', 'HonSon', 'UMinhThuong']"
"['Mùa thu (tháng 9 - 11)', 'Biển', 'Du lịch văn hóa, lịch sử']","['ma thu thng 9  11', 'bin', 'du lch vn ha lch s']",ma thu thng 9  11 bin du lch vn ha lch s,"['BienNgoc', 'NhatLeCoKinh', 'DaNangXuanKhaoCo', 'QuyNhonBienSu', 'PhuQuoc']"
"['Mùa thu (tháng 9 - 11)', 'Biển', 'Du lịch nghỉ dưỡng, thư giãn']","['ma thu thng 9  11', 'bin', 'du lch ngh dng th gin']",ma thu thng 9  11 bin du lch ngh dng th gin,"['ConDao', 'NhaTrang', 'LongHai']"
"['Mùa thu (tháng 9 - 11)', 'Thành phố', 'Du lịch khám phá thiên nhiên']","['ma thu thng 9  11', 'thnh ph', 'du lch khm ph thin nhin']",ma thu thng 9  11 thnh ph du lch khm ph thin nhin,"['LongXuyen', 'CanTho', 'RachGia', 'VinhLong', 'MyTho']"
"['Mùa thu (tháng 9 - 11)', 'Thành phố', 'Du lịch văn hóa, lịch sử']","['ma thu thng 9  11', 'thnh ph', 'du lch vn ha lch s']",ma thu thng 9  11 thnh ph du lch vn ha lch s,"['HaNoi', 'Hue', 'HoiAn', 'DaLat', 'TPHCM']"
"['Mùa thu (tháng 9 - 11)', 'Thành phố', 'Du lịch nghỉ dưỡng, thư giãn']","['ma thu thng 9  11', 'thnh ph', 'du lch ngh dng th gin']",ma thu thng 9  11 thnh ph du lch ngh dng th gin,"['DaNang', 'QuyNhon']"
"['Mùa thu (tháng 9 - 11)', 'Cao nguyên', 'Du lịch khám phá thiên nhiên']","['ma thu thng 9  11', 'cao nguyn', 'du lch khm ph thin nhin']",ma thu thng 9  11 cao nguyn du lch khm ph thin nhin,"['KonPlong', 'BaoLoc', 'LacDuong']"
"['Mùa thu (tháng 9 - 11)', 'Cao nguyên', 'Du lịch văn hóa, lịch sử']","['ma thu thng 9  11', 'cao nguyn', 'du lch vn ha lch s']",ma thu thng 9  11 cao nguyn du lch vn ha lch s,"['MocChau', 'BacHa']"
"['Mùa thu (tháng 9 - 11)', 'Cao nguyên', 'Du lịch nghỉ dưỡng, thư giãn']","['ma thu thng 9  11', 'cao nguyn', 'du lch ngh dng th gin']",ma thu thng 9  11 cao nguyn du lch ngh dng th gin,"['Pleiku', 'BuonMeThuot', 'MangDen']"
"['Mùa đông (tháng 12 - 2)', 'Núi/Rừng', 'Du lịch khám phá thiên nhiên']","['ma ng thng 12  2', 'nirng', 'du lch khm ph thin nhin']",ma ng thng 12  2 nirng du lch khm ph thin nhin,"['YokDon', 'BachMa', 'Bidoup', 'ChuMomRay', 'PuHuong']"
"['Mùa đông (tháng 12 - 2)', 'Núi/Rừng', 'Du lịch văn hóa, lịch sử']","['ma ng thng 12  2', 'nirng', 'du lch vn ha lch s']",ma ng thng 12  2 nirng du lch vn ha lch s,"['LangSon', 'ThaiNguyen', 'HoaBinh', 'SonLa', 'QuangNgai']"
"['Mùa đông (tháng 12 - 2)', 'Núi/Rừng', 'Du lịch nghỉ dưỡng, thư giãn']","['ma ng thng 12  2', 'nirng', 'du lch ngh dng th gin']",ma ng thng 12  2 nirng du lch ngh dng th gin,"['TamDao', 'TamNong', 'YenTu', 'Y Ty']"
"['Mùa đông (tháng 12 - 2)', 'Biển', 'Du lịch khám phá thiên nhiên']","['ma ng thng 12  2', 'bin', 'du lch khm ph thin nhin']",ma ng thng 12  2 bin du lch khm ph thin nhin,"['HaTien', 'HonSon', 'UMinhThuong']"
"['Mùa đông (tháng 12 - 2)', 'Biển', 'Du lịch văn hóa, lịch sử']","['ma ng thng 12  2', 'bin', 'du lch vn ha lch s']",ma ng thng 12  2 bin du lch vn ha lch s,"['BienNgoc', 'NhatLeCoKinh', 'DaNangXuanKhaoCo', 'QuyNhonBienSu', 'PhuQuoc']"
"['Mùa đông (tháng 12 - 2)', 'Biển', 'Du lịch nghỉ dưỡng, thư giãn']","['ma ng thng 12  2', 'bin', 'du lch ngh dng th gin']",ma ng thng 12  2 bin du lch ngh dng th gin,"['ConDao', 'NhaTrang', 'LongHai']"
"['Mùa đông (tháng 12 - 2)', 'Thành phố', 'Du lịch khám phá thiên nhiên']","['ma ng thng 12  2', 'thnh ph', 'du lch khm ph thin nhin']",ma ng thng 12  2 thnh ph du lch khm ph thin nhin,"['LongXuyen', 'CanTho', 'RachGia', 'VinhLong', 'MyTho']"
"['Mùa đông (tháng 12 - 2)', 'Thành phố', 'Du lịch văn hóa, lịch sử']","['ma ng thng 12  2', 'thnh ph', 'du lch vn ha lch s']",ma ng thng 12  2 thnh ph du lch vn ha lch s,"['HaNoi', 'Hue', 'HoiAn', 'DaLat', 'TPHCM']"
"['Mùa đông (tháng 12 - 2)', 'Thành phố', 'Du lịch nghỉ dưỡng, thư giãn']","['ma ng thng 12  2', 'thnh ph', 'du lch ngh dng th gin']",ma ng thng 12  2 thnh ph du lch ngh dng th gin,"['DaNang', 'QuyNhon']"
"['Mùa đông (tháng 12 - 2)', 'Cao nguyên', 'Du lịch khám phá thiên nhiên']","['ma ng thng 12  2', 'cao nguyn', 'du lch khm ph thin nhin']",ma ng thng 12  2 cao nguyn du lch khm ph thin nhin,"['KonPlong', 'BaoLoc', 'LacDuong']"
"['Mùa đông (tháng 12 - 2)', 'Cao nguyên', 'Du lịch văn hóa, lịch sử']","['ma ng thng 12  2', 'cao nguyn', 'du lch vn ha lch s']",ma ng thng 12  2 cao nguyn du lch vn ha lch s,"['MocChau', 'BacHa']"
"['Mùa đông (tháng 12 - 2)', 'Cao nguyên', 'Du lịch nghỉ dưỡng, thư giãn']","['ma ng thng 12  2', 'cao nguyn', 'du lch ngh dng th gin']",ma ng thng 12  2 cao nguyn du lch ngh dng th gin,"['Pleiku', 'BuonMeThuot', 'MangDen']"
